idx,city,country,iso3,capital,lat,lng,admin_name,population
134,Berlin,Germany,DEU,primary,52.52,13.405,Berlin,4890363.0
285,Stuttgart,Germany,DEU,admin,48.7775,9.18,Baden-Württemberg,2787724.0
307,Munich,Germany,DEU,admin,48.1375,11.575,Bavaria,2606021.0
326,Hamburg,Germany,DEU,admin,53.55,10.0,Hamburg,2484800.0
705,Cologne,Germany,DEU,,50.9364,6.9528,North Rhine-Westphalia,1084831.0
968,Frankfurt,Germany,DEU,minor,50.1106,8.6822,Hesse,773068.0
1185,Düsseldorf,Germany,DEU,admin,51.2333,6.7833,North Rhine-Westphalia,629047.0
1218,Leipzig,Germany,DEU,minor,51.34,12.375,Saxony,616093.0
1261,Dortmund,Germany,DEU,minor,51.5139,7.4653,North Rhine-Westphalia,593317.0
1276,Essen,Germany,DEU,minor,51.4508,7.0131,North Rhine-Westphalia,584580.0
1304,Bremen,Germany,DEU,admin,53.0758,8.8072,Bremen,569396.0
1318,Dresden,Germany,DEU,admin,51.05,13.74,Saxony,563311.0
1358,Hannover,Germany,DEU,admin,52.3667,9.7167,Lower Saxony,545045.0
1409,Nuremberg,Germany,DEU,minor,49.4539,11.0775,Bavaria,523026.0
1466,Duisburg,Germany,DEU,minor,51.4347,6.7625,North Rhine-Westphalia,502211.0
1921,Bochum,Germany,DEU,minor,51.4819,7.2158,North Rhine-Westphalia,365742.0
1956,Wuppertal,Germany,DEU,minor,51.2667,7.1833,North Rhine-Westphalia,358876.0
2069,Bielefeld,Germany,DEU,minor,52.0211,8.5347,North Rhine-Westphalia,338332.0
2080,Bonn,Germany,DEU,minor,50.7333,7.1,North Rhine-Westphalia,336465.0
2176,Münster,Germany,DEU,minor,51.9625,7.6256,North Rhine-Westphalia,320946.0
2211,Mannheim,Germany,DEU,minor,49.4878,8.4661,Baden-Württemberg,315554.0
2249,Karlsruhe,Germany,DEU,minor,49.0092,8.404,Baden-Württemberg,308707.0
2287,Augsburg,Germany,DEU,minor,48.3689,10.8978,Bavaria,301033.0
2425,Wiesbaden,Germany,DEU,admin,50.0825,8.24,Hesse,283083.0
2519,Mönchengladbach,Germany,DEU,minor,51.2,6.4333,North Rhine-Westphalia,268465.0
2576,Gelsenkirchen,Germany,DEU,minor,51.5167,7.1,North Rhine-Westphalia,263000.0
2658,Aachen,Germany,DEU,minor,50.7756,6.0836,North Rhine-Westphalia,252136.0
2667,Braunschweig,Germany,DEU,minor,52.2667,10.5167,Lower Saxony,251804.0
2711,Chemnitz,Germany,DEU,minor,50.8333,12.9167,Saxony,248563.0
2720,Kiel,Germany,DEU,admin,54.3233,10.1394,Schleswig-Holstein,247717.0
2779,Halle,Germany,DEU,minor,51.4828,11.9697,Saxony-Anhalt,242083.0
2802,Magdeburg,Germany,DEU,admin,52.1317,11.6392,Saxony-Anhalt,239364.0
2841,Freiburg im Breisgau,Germany,DEU,minor,47.995,7.85,Baden-Württemberg,236140.0
2924,Krefeld,Germany,DEU,minor,51.3333,6.5667,North Rhine-Westphalia,228426.0
3026,Mainz,Germany,DEU,admin,49.9994,8.2736,Rhineland-Palatinate,220552.0
3053,Lübeck,Germany,DEU,minor,53.8697,10.6864,Schleswig-Holstein,218095.0
3144,Oberhausen,Germany,DEU,minor,51.4967,6.8706,North Rhine-Westphalia,210824.0
3158,Rostock,Germany,DEU,,54.0833,12.1333,Mecklenburg-Western Pomerania,209920.0
3233,Kassel,Germany,DEU,minor,51.3158,9.4979,Hesse,204202.0
3462,Hagen,Germany,DEU,minor,51.3667,7.4833,North Rhine-Westphalia,189783.0
3516,Potsdam,Germany,DEU,admin,52.4,13.0667,Brandenburg,185750.0
3570,Saarbrücken,Germany,DEU,admin,49.2333,7.0,Saarland,181959.0
3588,Hamm,Germany,DEU,minor,51.6667,7.8167,North Rhine-Westphalia,180849.0
3705,Ludwigshafen,Germany,DEU,minor,49.4811,8.4353,Rhineland-Palatinate,174265.0
3736,Oldenburg,Germany,DEU,minor,53.1439,8.2139,Lower Saxony,172830.0
3749,Mülheim,Germany,DEU,minor,51.4275,6.8825,North Rhine-Westphalia,172404.0
3860,Osnabrück,Germany,DEU,minor,52.2833,8.05,Lower Saxony,167366.0
3891,Leverkusen,Germany,DEU,minor,51.0333,6.9833,North Rhine-Westphalia,165748.0
3964,Heidelberg,Germany,DEU,minor,49.4167,8.7167,Baden-Württemberg,162273.0
3965,Darmstadt,Germany,DEU,minor,49.8722,8.6528,Hesse,162243.0
4000,Solingen,Germany,DEU,minor,51.1667,7.0833,North Rhine-Westphalia,160643.0
4074,Regensburg,Germany,DEU,minor,49.0167,12.0833,Bavaria,157443.0
4076,Herne,Germany,DEU,minor,51.55,7.2167,North Rhine-Westphalia,157368.0
4136,Paderborn,Germany,DEU,minor,51.7181,8.7542,North Rhine-Westphalia,154755.0
4151,Neuss,Germany,DEU,minor,51.2,6.7,North Rhine-Westphalia,154139.0
4509,Ingolstadt,Germany,DEU,minor,48.7631,11.425,Bavaria,141029.0
4790,Fürth,Germany,DEU,minor,49.4667,11.0,Bavaria,131433.0
4882,Ulm,Germany,DEU,minor,48.4,9.9833,Baden-Württemberg,128928.0
4899,Heilbronn,Germany,DEU,minor,49.15,9.2167,Baden-Württemberg,128334.0
4920,Pforzheim,Germany,DEU,minor,48.895,8.705,Baden-Württemberg,127849.0
4922,Würzburg,Germany,DEU,minor,49.7833,9.9333,Bavaria,127810.0
4982,Wolfsburg,Germany,DEU,minor,52.4231,10.7872,Lower Saxony,125961.0
5238,Göttingen,Germany,DEU,minor,51.5339,9.9356,Lower Saxony,118946.0
5274,Bottrop,Germany,DEU,minor,51.5247,6.9228,North Rhine-Westphalia,118113.0
5303,Reutlingen,Germany,DEU,minor,48.4833,9.2167,Baden-Württemberg,117547.0
5344,Erlangen,Germany,DEU,minor,49.5833,11.0167,Bavaria,116562.0
